Report_Year,Census_Tract_1990,Crime_Type,Report_Year_Total
2001,50,Property Crimes Total,222
2001,50,Rape,0
2001,50,Residential Burglary,30
2001,50,Robbery,8
2001,50,Theft,137
2001,50,Vehicle Theft,42
2001,50,Violent Crimes Total,17
2001,51,Aggravated Assault,3
2001,51,Homicide,0
2001,51,NonResidential Burglary,13
2001,51,Property Crimes Total,280
2001,51,Rape,0
2001,51,Residential Burglary,32
2001,51,Robbery,4
2001,51,Theft,175
2001,51,Vehicle Theft,59
2001,51,Violent Crimes Total,7
2001,52,Aggravated Assault,18
2001,52,Homicide,1
2001,52,NonResidential Burglary,23
2001,52,Property Crimes Total,688
2001,52,Rape,3
2001,52,Residential Burglary,80
2001,52,Robbery,7
2001,52,Theft,418
2001,52,Vehicle Theft,167
2001,52,Violent Crimes Total,29
2001,53.01,Aggravated Assault,57
2001,53.01,Homicide,0
2001,53.01,NonResidential Burglary,48
2001,53.01,Property Crimes Total,895
2001,53.01,Rape,1
2001,53.01,Residential Burglary,89
2001,53.01,Robbery,42
2001,53.01,Theft,636
2001,53.01,Vehicle Theft,117
2001,53.01,Violent Crimes Total,100
2001,53.02,Aggravated Assault,3
2001,53.02,Homicide,0
2001,53.02,NonResidential Burglary,4
2001,53.02,Property Crimes Total,43
2001,53.02,Rape,0
2001,53.02,Residential Burglary,2
2001,53.02,Robbery,3
2001,53.02,Theft,27
2001,53.02,Vehicle Theft,10
2001,53.02,Violent Crimes Total,6
2001,54,Aggravated Assault,9
2001,54,Homicide,0
2001,54,NonResidential Burglary,15
2001,54,Property Crimes Total,322
2001,54,Rape,0
2001,54,Residential Burglary,44
2001,54,Robbery,3
2001,54,Theft,176
2001,54,Vehicle Theft,85
2001,54,Violent Crimes Total,12
2001,55,Aggravated Assault,1
2001,55,Homicide,0
2001,55,NonResidential Burglary,0
2001,55,Property Crimes Total,48
2001,55,Rape,0
2001,55,Residential Burglary,1
2001,55,Robbery,0
2001,55,Theft,46
2001,55,Vehicle Theft,0
2001,55,Violent Crimes Total,1
2001,56,Aggravated Assault,1
2001,56,Homicide,0
2001,56,NonResidential Burglary,1
2001,56,Property Crimes Total,119
2001,56,Rape,1
2001,56,Residential Burglary,20
2001,56,Robbery,1
2001,56,Theft,73
2001,56,Vehicle Theft,24
2001,56,Violent Crimes Total,3
2001,57,Aggravated Assault,2
2001,57,Homicide,0
2001,57,NonResidential Burglary,2
2001,57,Property Crimes Total,139
2001,57,Rape,0
2001,57,Residential Burglary,30
2001,57,Robbery,3
2001,57,Theft,83
2001,57,Vehicle Theft,23
2001,57,Violent Crimes Total,5
2001,58.01,Aggravated Assault,10
2001,58.01,Homicide,0
2001,58.01,NonResidential Burglary,23
2001,58.01,Property Crimes Total,242
2001,58.01,Rape,0
2001,58.01,Residential Burglary,25
2001,58.01,Robbery,1
2001,58.01,Theft,122
2001,58.01,Vehicle Theft,70
2001,58.01,Violent Crimes Total,11
2001,58.02,Aggravated Assault,17
2001,58.02,Homicide,0
2001,58.02,NonResidential Burglary,23
2001,58.02,Property Crimes Total,279
2001,58.02,Rape,1
2001,58.02,Residential Burglary,45
2001,58.02,Robbery,4
2001,58.02,Theft,141
2001,58.02,Vehicle Theft,69
2001,58.02,Violent Crimes Total,22
2001,59,Aggravated Assault,1
2001,59,Homicide,0
2001,59,NonResidential Burglary,5
2001,59,Property Crimes Total,261
2001,59,Rape,1
2001,59,Residential Burglary,31
2001,59,Robbery,2
2001,59,Theft,165
2001,59,Vehicle Theft,58
2001,59,Violent Crimes Total,4
2001,6,Aggravated Assault,20
2001,6,Homicide,0
2001,6,NonResidential Burglary,24
2001,6,Property Crimes Total,430
2001,6,Rape,1
2001,6,Residential Burglary,41
2001,6,Robbery,15
2001,6,Theft,280
2001,6,Vehicle Theft,82
2001,6,Violent Crimes Total,36
2001,60,Aggravated Assault,1
2001,60,Homicide,0
2001,60,NonResidential Burglary,18
2001,60,Property Crimes Total,322
2001,60,Rape,2
2001,60,Residential Burglary,39
2001,60,Robbery,2
2001,60,Theft,184
2001,60,Vehicle Theft,78
2001,60,Violent Crimes Total,5
2001,61,Aggravated Assault,3
2001,61,Homicide,0
2001,61,NonResidential Burglary,26
2001,61,Property Crimes Total,438
2001,61,Rape,0
2001,61,Residential Burglary,56
2001,61,Robbery,2
2001,61,Theft,245
2001,61,Vehicle Theft,111
2001,61,Violent Crimes Total,5
2001,62,Aggravated Assault,1
2001,62,Homicide,0
2001,62,NonResidential Burglary,6
2001,62,Property Crimes Total,218
2001,62,Rape,0
2001,62,Residential Burglary,18
2001,62,Robbery,5
2001,62,Theft,159
2001,62,Vehicle Theft,34
2001,62,Violent Crimes Total,6
2001,63,Aggravated Assault,3
2001,63,Homicide,0
2001,63,NonResidential Burglary,10
2001,63,Property Crimes Total,188
2001,63,Rape,0
2001,63,Residential Burglary,21
2001,63,Robbery,3
2001,63,Theft,124
2001,63,Vehicle Theft,32
2001,63,Violent Crimes Total,6
2001,64,Aggravated Assault,4
2001,64,Homicide,0
2001,64,NonResidential Burglary,4
2001,64,Property Crimes Total,146
2001,64,Rape,0
2001,64,Residential Burglary,27
2001,64,Robbery,0
2001,64,Theft,81
2001,64,Vehicle Theft,34
2001,64,Violent Crimes Total,4
2001,65,Aggravated Assault,5
2001,65,Homicide,0
2001,65,NonResidential Burglary,2
2001,65,Property Crimes Total,225
2001,65,Rape,0
2001,65,Residential Burglary,40
2001,65,Robbery,3
2001,65,Theft,124
2001,65,Vehicle Theft,59
2001,65,Violent Crimes Total,8
2001,66,Aggravated Assault,7
2001,66,Homicide,0
2001,66,NonResidential Burglary,19
2001,66,Property Crimes Total,401
2001,66,Rape,-1
2001,66,Residential Burglary,51
2001,66,Robbery,6
2001,66,Theft,229
2001,66,Vehicle Theft,102
2001,66,Violent Crimes Total,12
2001,67.98,Aggravated Assault,8
2001,67.98,Homicide,0
2001,67.98,NonResidential Burglary,27
2001,67.98,Property Crimes Total,487
2001,67.98,Rape,0
2001,67.98,Residential Burglary,63
2001,67.98,Robbery,4
2001,67.98,Theft,256
2001,67.98,Vehicle Theft,141
2001,67.98,Violent Crimes Total,12
2001,68.98,Aggravated Assault,10
2001,68.98,Homicide,1
2001,68.98,NonResidential Burglary,7
2001,68.98,Property Crimes Total,179
2001,68.98,Rape,1
2001,68.98,Residential Burglary,19
2001,68.98,Robbery,5
2001,68.98,Theft,131
2001,68.98,Vehicle Theft,20
2001,68.98,Violent Crimes Total,17
2001,69,Aggravated Assault,4
2001,69,Homicide,0
2001,69,NonResidential Burglary,1
2001,69,Property Crimes Total,224
2001,69,Rape,2
2001,69,Residential Burglary,26
2001,69,Robbery,1
2001,69,Theft,147
2001,69,Vehicle Theft,49
2001,69,Violent Crimes Total,7
2001,7,Aggravated Assault,6
2001,7,Homicide,0
2001,7,NonResidential Burglary,11
2001,7,Property Crimes Total,223
2001,7,Rape,1
2001,7,Residential Burglary,22
2001,7,Robbery,5
2001,7,Theft,120
2001,7,Vehicle Theft,67
2001,7,Violent Crimes Total,12
2001,70,Aggravated Assault,11
2001,70,Homicide,0
2001,70,NonResidential Burglary,19
2001,70,Property Crimes Total,528
2001,70,Rape,1
2001,70,Residential Burglary,64
2001,70,Robbery,5
2001,70,Theft,351
2001,70,Vehicle Theft,93
2001,70,Violent Crimes Total,17
2001,71,Aggravated Assault,17
2001,71,Homicide,0
2001,71,NonResidential Burglary,48
2001,71,Property Crimes Total,727
2001,71,Rape,1
2001,71,Residential Burglary,36
2001,71,Robbery,22
2001,71,Theft,553
2001,71,Vehicle Theft,89
2001,71,Violent Crimes Total,40
2001,72,Aggravated Assault,45
2001,72,Homicide,1
2001,72,NonResidential Burglary,76
2001,72,Property Crimes Total,908
2001,72,Rape,5
2001,72,Residential Burglary,31
2001,72,Robbery,45
2001,72,Theft,629
2001,72,Vehicle Theft,171
2001,72,Violent Crimes Total,96
2001,73,Aggravated Assault,28
2001,73,Homicide,0
2001,73,NonResidential Burglary,51
2001,73,Property Crimes Total,544
2001,73,Rape,3
2001,73,Residential Burglary,26
2001,73,Robbery,24
2001,73,Theft,368
2001,73,Vehicle Theft,98
2001,73,Violent Crimes Total,55
2001,74,Aggravated Assault,48
2001,74,Homicide,0
2001,74,NonResidential Burglary,21
2001,74,Property Crimes Total,810
2001,74,Rape,1
2001,74,Residential Burglary,143
2001,74,Robbery,30
2001,74,Theft,493
2001,74,Vehicle Theft,150
2001,74,Violent Crimes Total,79
2001,75,Aggravated Assault,35
2001,75,Homicide,0
2001,75,NonResidential Burglary,50
2001,75,Property Crimes Total,711
2001,75,Rape,2
2001,75,Residential Burglary,62
2001,75,Robbery,40
2001,75,Theft,490
2001,75,Vehicle Theft,107
2001,75,Violent Crimes Total,77
2001,76,Aggravated Assault,17
2001,76,Homicide,0
2001,76,NonResidential Burglary,11
2001,76,Property Crimes Total,236
2001,76,Rape,0
2001,76,Residential Burglary,45
2001,76,Robbery,19
2001,76,Theft,137
2001,76,Vehicle Theft,40
2001,76,Violent Crimes Total,36
2001,77,Aggravated Assault,19
2001,77,Homicide,0
2001,77,NonResidential Burglary,9
2001,77,Property Crimes Total,240
2001,77,Rape,3
2001,77,Residential Burglary,45
2001,77,Robbery,7
2001,77,Theft,135
2001,77,Vehicle Theft,51
2001,77,Violent Crimes Total,29
2001,78,Aggravated Assault,4
2001,78,Homicide,0
2001,78,NonResidential Burglary,8
2001,78,Property Crimes Total,170
2001,78,Rape,0
2001,78,Residential Burglary,24
2001,78,Robbery,5
2001,78,Theft,102
2001,78,Vehicle Theft,35
2001,78,Violent Crimes Total,9
2001,79,Aggravated Assault,40
2001,79,Homicide,1
2001,79,NonResidential Burglary,16
2001,79,Property Crimes Total,331
2001,79,Rape,1
2001,79,Residential Burglary,52
2001,79,Robbery,25
2001,79,Theft,184
2001,79,Vehicle Theft,78
2001,79,Violent Crimes Total,67
2001,8,Aggravated Assault,1
2001,8,Homicide,0
2001,8,NonResidential Burglary,3
2001,8,Property Crimes Total,59
2001,8,Rape,1
2001,8,Residential Burglary,14
2001,8,Robbery,1
2001,8,Theft,36
2001,8,Vehicle Theft,5
2001,8,Violent Crimes Total,3
2001,80,Aggravated Assault,63
2001,80,Homicide,1
2001,80,NonResidential Burglary,69
2001,80,Property Crimes Total,884
2001,80,Rape,6
2001,80,Residential Burglary,65
2001,80,Robbery,70
2001,80,Theft,622
2001,80,Vehicle Theft,125
2001,80,Violent Crimes Total,140
2001,81,Aggravated Assault,196
2001,81,Homicide,2
2001,81,NonResidential Burglary,159
2001,81,Property Crimes Total,2100
2001,81,Rape,13
2001,81,Residential Burglary,18
2001,81,Robbery,181
2001,81,Theft,1739
2001,81,Vehicle Theft,176
2001,81,Violent Crimes Total,392
2001,82,Aggravated Assault,28
2001,82,Homicide,0
2001,82,NonResidential Burglary,63
2001,82,Property Crimes Total,864
2001,82,Rape,2
2001,82,Residential Burglary,20
2001,82,Robbery,33
2001,82,Theft,737
2001,82,Vehicle Theft,40
2001,82,Violent Crimes Total,63
2001,83,Aggravated Assault,6
2001,83,Homicide,0
2001,83,NonResidential Burglary,22
2001,83,Property Crimes Total,269
2001,83,Rape,6
2001,83,Residential Burglary,27
2001,83,Robbery,10
2001,83,Theft,183
2001,83,Vehicle Theft,36
2001,83,Violent Crimes Total,22
2001,84,Aggravated Assault,30
2001,84,Homicide,0
2001,84,NonResidential Burglary,30
2001,84,Property Crimes Total,571
2001,84,Rape,2
2001,84,Residential Burglary,41
2001,84,Robbery,23
2001,84,Theft,417
2001,84,Vehicle Theft,83
2001,84,Violent Crimes Total,55
2001,85,Aggravated Assault,47
2001,85,Homicide,0
2001,85,NonResidential Burglary,21
2001,85,Property Crimes Total,400
2001,85,Rape,4
2001,85,Residential Burglary,11
2001,85,Robbery,23
2001,85,Theft,278
2001,85,Vehicle Theft,86
2001,85,Violent Crimes Total,74
2001,86,Aggravated Assault,48
2001,86,Homicide,0
2001,86,NonResidential Burglary,11
2001,86,Property Crimes Total,334
2001,86,Rape,2
2001,86,Residential Burglary,39
2001,86,Robbery,12
2001,86,Theft,215
2001,86,Vehicle Theft,66
2001,86,Violent Crimes Total,62
2001,87,Aggravated Assault,43
2001,87,Homicide,0
2001,87,NonResidential Burglary,16
2001,87,Property Crimes Total,315
2001,87,Rape,3
2001,87,Residential Burglary,40
2001,87,Robbery,24
2001,87,Theft,181
2001,87,Vehicle Theft,71
2001,87,Violent Crimes Total,70
2001,88,Aggravated Assault,23
2001,88,Homicide,0
2001,88,NonResidential Burglary,12
2001,88,Property Crimes Total,314
2001,88,Rape,0
2001,88,Residential Burglary,28
2001,88,Robbery,21
2001,88,Theft,219
2001,88,Vehicle Theft,46
2001,88,Violent Crimes Total,44
2001,89,Aggravated Assault,32
2001,89,Homicide,0
2001,89,NonResidential Burglary,14
2001,89,Property Crimes Total,599
2001,89,Rape,0
2001,89,Residential Burglary,82
2001,89,Robbery,19
2001,89,Theft,419
2001,89,Vehicle Theft,80
2001,89,Violent Crimes Total,51
2001,9,Aggravated Assault,1
2001,9,Homicide,0
2001,9,NonResidential Burglary,0
2001,9,Property Crimes Total,63
2001,9,Rape,0
2001,9,Residential Burglary,17
2001,9,Robbery,2
2001,9,Theft,35
2001,9,Vehicle Theft,11
2001,9,Violent Crimes Total,3
2001,90,Aggravated Assault,22
2001,90,Homicide,0
2001,90,NonResidential Burglary,43
2001,90,Property Crimes Total,444
2001,90,Rape,3
2001,90,Residential Burglary,15
2001,90,Robbery,15
2001,90,Theft,299
2001,90,Vehicle Theft,85
2001,90,Violent Crimes Total,40
2001,91,Aggravated Assault,41
2001,91,Homicide,1
2001,91,NonResidential Burglary,29
2001,91,Property Crimes Total,467
2001,91,Rape,1
2001,91,Residential Burglary,15
2001,91,Robbery,33
2001,91,Theft,298
2001,91,Vehicle Theft,120
2001,91,Violent Crimes Total,76
2001,92,Aggravated Assault,61
2001,92,Homicide,0
2001,92,NonResidential Burglary,28
2001,92,Property Crimes Total,351
2001,92,Rape,0
2001,92,Residential Burglary,6
2001,92,Robbery,50
2001,92,Theft,248
2001,92,Vehicle Theft,69
2001,92,Violent Crimes Total,111
2001,93,Aggravated Assault,48
2001,93,Homicide,0
2001,93,NonResidential Burglary,186
2001,93,Property Crimes Total,1388
2001,93,Rape,1
2001,93,Residential Burglary,20
2001,93,Robbery,31
2001,93,Theft,894
2001,93,Vehicle Theft,283
2001,93,Violent Crimes Total,80
2001,94,Aggravated Assault,25
2001,94,Homicide,2
2001,94,NonResidential Burglary,33
2001,94,Property Crimes Total,410
2001,94,Rape,3
2001,94,Residential Burglary,50
2001,94,Robbery,23
2001,94,Theft,200
2001,94,Vehicle Theft,127
2001,94,Violent Crimes Total,53
2001,95,Aggravated Assault,34
2001,95,Homicide,1
2001,95,NonResidential Burglary,10
2001,95,Property Crimes Total,407
2001,95,Rape,0
2001,95,Residential Burglary,48
2001,95,Robbery,28
2001,95,Theft,217
2001,95,Vehicle Theft,124
2001,95,Violent Crimes Total,63
2001,96,Aggravated Assault,13
2001,96,Homicide,0
2001,96,NonResidential Burglary,10
2001,96,Property Crimes Total,256
2001,96,Rape,1
2001,96,Residential Burglary,38
2001,96,Robbery,6
2001,96,Theft,165
2001,96,Vehicle Theft,43
2001,96,Violent Crimes Total,20
2001,97,Aggravated Assault,11
2001,97,Homicide,0
2001,97,NonResidential Burglary,2
2001,97,Property Crimes Total,391
2001,97,Rape,1
2001,97,Residential Burglary,44
2001,97,Robbery,1
2001,97,Theft,235
2001,97,Vehicle Theft,110
2001,97,Violent Crimes Total,13
2001,98,Aggravated Assault,9
2001,98,Homicide,1
2001,98,NonResidential Burglary,23
2001,98,Property Crimes Total,318
2001,98,Rape,0
2001,98,Residential Burglary,34
2001,98,Robbery,7
2001,98,Theft,189
2001,98,Vehicle Theft,69
2001,98,Violent Crimes Total,17
2001,99,Aggravated Assault,25
2001,99,Homicide,0
2001,99,NonResidential Burglary,31
2001,99,Property Crimes Total,409
2001,99,Rape,1
2001,99,Residential Burglary,48
2001,99,Robbery,15
2001,99,Theft,222
2001,99,Vehicle Theft,106
2001,99,Violent Crimes Total,41
2002,1,Aggravated Assault,24
2002,1,Homicide,2
2002,1,NonResidential Burglary,19
2002,1,Property Crimes Total,420
2002,1,Rape,1
2002,1,Residential Burglary,63
2002,1,Robbery,15
2002,1,Theft,278
2002,1,Vehicle Theft,60
2002,1,Violent Crimes Total,42
2002,10,Aggravated Assault,5
2002,10,Homicide,0
2002,10,NonResidential Burglary,5
2002,10,Property Crimes Total,80
2002,10,Rape,2
2002,10,Residential Burglary,11
2002,10,Robbery,3
2002,10,Theft,55
2002,10,Vehicle Theft,9
2002,10,Violent Crimes Total,10
2002,100,Aggravated Assault,41
2002,100,Homicide,0
2002,100,NonResidential Burglary,18
2002,100,Property Crimes Total,498
2002,100,Rape,2
2002,100,Residential Burglary,49
2002,100,Robbery,34
2002,100,Theft,322
2002,100,Vehicle Theft,108
2002,100,Violent Crimes Total,77
2002,101,Aggravated Assault,39
2002,101,Homicide,0
2002,101,NonResidential Burglary,19
2002,101,Property Crimes Total,506
2002,101,Rape,2
2002,101,Residential Burglary,75
2002,101,Robbery,28
2002,101,Theft,294
2002,101,Vehicle Theft,115
2002,101,Violent Crimes Total,69
2002,102,Aggravated Assault,5
2002,102,Homicide,0
2002,102,NonResidential Burglary,4
2002,102,Property Crimes Total,234
2002,102,Rape,0
2002,102,Residential Burglary,45
2002,102,Robbery,8
2002,102,Theft,125
2002,102,Vehicle Theft,59
2002,102,Violent Crimes Total,13
2002,103,Aggravated Assault,64
2002,103,Homicide,1
2002,103,NonResidential Burglary,19
2002,103,Property Crimes Total,510
2002,103,Rape,2
2002,103,Residential Burglary,53
2002,103,Robbery,34
2002,103,Theft,310
2002,103,Vehicle Theft,125
2002,103,Violent Crimes Total,101
2002,104,Aggravated Assault,40
2002,104,Homicide,0
2002,104,NonResidential Burglary,21
2002,104,Property Crimes Total,315
2002,104,Rape,3
2002,104,Residential Burglary,59
2002,104,Robbery,26
2002,104,Theft,139
2002,104,Vehicle Theft,92
2002,104,Violent Crimes Total,69
2002,105,Aggravated Assault,18
2002,105,Homicide,0
2002,105,NonResidential Burglary,34
2002,105,Property Crimes Total,491
2002,105,Rape,0
2002,105,Residential Burglary,66
2002,105,Robbery,19
2002,105,Theft,273
2002,105,Vehicle Theft,118
2002,105,Violent Crimes Total,37
2002,106,Aggravated Assault,17
2002,106,Homicide,0
2002,106,NonResidential Burglary,17
2002,106,Property Crimes Total,390
2002,106,Rape,0
2002,106,Residential Burglary,62
2002,106,Robbery,14
2002,106,Theft,202
2002,106,Vehicle Theft,108
2002,106,Violent Crimes Total,31
2002,107,Aggravated Assault,66
2002,107,Homicide,2
2002,107,NonResidential Burglary,10
2002,107,Property Crimes Total,317
2002,107,Rape,2
2002,107,Residential Burglary,55
2002,107,Robbery,27
2002,107,Theft,155
2002,107,Vehicle Theft,93
2002,107,Violent Crimes Total,97
2002,108,Aggravated Assault,21
2002,108,Homicide,0
2002,108,NonResidential Burglary,5
2002,108,Property Crimes Total,292
2002,108,Rape,1
2002,108,Residential Burglary,57
2002,108,Robbery,9
2002,108,Theft,148
2002,108,Vehicle Theft,79
2002,108,Violent Crimes Total,31
2002,109,Aggravated Assault,26
2002,109,Homicide,1
2002,109,NonResidential Burglary,57
2002,109,Property Crimes Total,361
2002,109,Rape,1
2002,109,Residential Burglary,25
2002,109,Robbery,27
2002,109,Theft,221
2002,109,Vehicle Theft,58
2002,109,Violent Crimes Total,55
2002,11,Aggravated Assault,0
2002,11,Homicide,0
2002,11,NonResidential Burglary,9
2002,11,Property Crimes Total,89
2002,11,Rape,1
2002,11,Residential Burglary,18
2002,11,Robbery,2
2002,11,Theft,37
2002,11,Vehicle Theft,23
2002,11,Violent Crimes Total,3
2002,110,Aggravated Assault,28
2002,110,Homicide,0
2002,110,NonResidential Burglary,38
2002,110,Property Crimes Total,374
2002,110,Rape,3
2002,110,Residential Burglary,49
2002,110,Robbery,16
2002,110,Theft,158
2002,110,Vehicle Theft,126
2002,110,Violent Crimes Total,47
2002,111,Aggravated Assault,46
2002,111,Homicide,1
2002,111,NonResidential Burglary,27
2002,111,Property Crimes Total,464
2002,111,Rape,3
2002,111,Residential Burglary,61
2002,111,Robbery,31
2002,111,Theft,233
2002,111,Vehicle Theft,141
2002,111,Violent Crimes Total,81
2002,112,Aggravated Assault,41
2002,112,Homicide,0
2002,112,NonResidential Burglary,22
2002,112,Property Crimes Total,234
2002,112,Rape,3
2002,112,Residential Burglary,31
2002,112,Robbery,12
2002,112,Theft,112
2002,112,Vehicle Theft,65
2002,112,Violent Crimes Total,56
2002,113,Aggravated Assault,31
2002,113,Homicide,0
2002,113,NonResidential Burglary,13
2002,113,Property Crimes Total,398
2002,113,Rape,0
2002,113,Residential Burglary,110
2002,113,Robbery,14
2002,113,Theft,180
2002,113,Vehicle Theft,91
2002,113,Violent Crimes Total,45
2002,114,Aggravated Assault,56
2002,114,Homicide,0
2002,114,NonResidential Burglary,24
2002,114,Property Crimes Total,612
2002,114,Rape,2
2002,114,Residential Burglary,79
2002,114,Robbery,29
2002,114,Theft,342
2002,114,Vehicle Theft,166
2002,114,Violent Crimes Total,87
2002,115,Aggravated Assault,8
2002,115,Homicide,0
2002,115,NonResidential Burglary,8
2002,115,Property Crimes Total,293
2002,115,Rape,0
2002,115,Residential Burglary,64
2002,115,Robbery,3
2002,115,Theft,135
2002,115,Vehicle Theft,85
2002,115,Violent Crimes Total,11
2002,116,Aggravated Assault,8
2002,116,Homicide,0
2002,116,NonResidential Burglary,4
2002,116,Property Crimes Total,276
2002,116,Rape,1
2002,116,Residential Burglary,60
2002,116,Robbery,5
2002,116,Theft,150
2002,116,Vehicle Theft,62
2002,116,Violent Crimes Total,14
2002,117,Aggravated Assault,15
2002,117,Homicide,0
2002,117,NonResidential Burglary,27
2002,117,Property Crimes Total,159
2002,117,Rape,1
2002,117,Residential Burglary,19
2002,117,Robbery,13
2002,117,Theft,64
2002,117,Vehicle Theft,48
2002,117,Violent Crimes Total,29
2002,118,Aggravated Assault,61
2002,118,Homicide,2
2002,118,NonResidential Burglary,22
2002,118,Property Crimes Total,422
2002,118,Rape,4
2002,118,Residential Burglary,58
2002,118,Robbery,65
2002,118,Theft,253
2002,118,Vehicle Theft,88
2002,118,Violent Crimes Total,132
2002,119,Aggravated Assault,24
2002,119,Homicide,0
2002,119,NonResidential Burglary,5
2002,119,Property Crimes Total,255
2002,119,Rape,2
2002,119,Residential Burglary,61
2002,119,Robbery,8
2002,119,Theft,130
2002,119,Vehicle Theft,54
2002,119,Violent Crimes Total,34
2002,12,Aggravated Assault,23
2002,12,Homicide,0
2002,12,NonResidential Burglary,28
2002,12,Property Crimes Total,897
2002,12,Rape,0
2002,12,Residential Burglary,36
2002,12,Robbery,23
2002,12,Theft,671
2002,12,Vehicle Theft,157
2002,12,Violent Crimes Total,46
2002,120,Aggravated Assault,5
2002,120,Homicide,0
2002,120,NonResidential Burglary,1
2002,120,Property Crimes Total,91
2002,120,Rape,0
2002,120,Residential Burglary,31
2002,120,Robbery,0
2002,120,Theft,35
2002,120,Vehicle Theft,24
2002,120,Violent Crimes Total,5
2002,121,Aggravated Assault,1
2002,121,Homicide,0
2002,121,NonResidential Burglary,0
2002,121,Property Crimes Total,72
2002,121,Rape,0
2002,121,Residential Burglary,20
2002,121,Robbery,0
2002,121,Theft,33
2002,121,Vehicle Theft,19
2002,121,Violent Crimes Total,1
2002,13,Aggravated Assault,22
2002,13,Homicide,0
2002,13,NonResidential Burglary,22
2002,13,Property Crimes Total,303
2002,13,Rape,1
2002,13,Residential Burglary,26
2002,13,Robbery,7
2002,13,Theft,183
2002,13,Vehicle Theft,72
2002,13,Violent Crimes Total,30
2002,14,Aggravated Assault,11
2002,14,Homicide,0
2002,14,NonResidential Burglary,4
2002,14,Property Crimes Total,223
2002,14,Rape,2
2002,14,Residential Burglary,37
2002,14,Robbery,8
2002,14,Theft,123
2002,14,Vehicle Theft,57
2002,14,Violent Crimes Total,21
2002,15,Aggravated Assault,1
2002,15,Homicide,0
2002,15,NonResidential Burglary,0
2002,15,Property Crimes Total,61
2002,15,Rape,1
2002,15,Residential Burglary,9
2002,15,Robbery,1
2002,15,Theft,43
2002,15,Vehicle Theft,9
2002,15,Violent Crimes Total,3
2002,16,Aggravated Assault,12
2002,16,Homicide,0
2002,16,NonResidential Burglary,2
2002,16,Property Crimes Total,139
2002,16,Rape,0
2002,16,Residential Burglary,16
2002,16,Robbery,14
2002,16,Theft,97
2002,16,Vehicle Theft,24
2002,16,Violent Crimes Total,26
2002,17,Aggravated Assault,32
2002,17,Homicide,0
2002,17,NonResidential Burglary,14
2002,17,Property Crimes Total,467
2002,17,Rape,0
2002,17,Residential Burglary,88
2002,17,Robbery,10
2002,17,Theft,263
2002,17,Vehicle Theft,98
2002,17,Violent Crimes Total,42
2002,18,Aggravated Assault,27
2002,18,Homicide,1
2002,18,NonResidential Burglary,6
2002,18,Property Crimes Total,243
2002,18,Rape,1
2002,18,Residential Burglary,41
2002,18,Robbery,12
2002,18,Theft,121
2002,18,Vehicle Theft,74
2002,18,Violent Crimes Total,41
2002,19,Aggravated Assault,7
2002,19,Homicide,0
2002,19,NonResidential Burglary,9
2002,19,Property Crimes Total,182
2002,19,Rape,0
2002,19,Residential Burglary,19
2002,19,Robbery,5
2002,19,Theft,90
2002,19,Vehicle Theft,64
2002,19,Violent Crimes Total,12
2002,2,Aggravated Assault,7
2002,2,Homicide,0
2002,2,NonResidential Burglary,8
2002,2,Property Crimes Total,330
2002,2,Rape,1
2002,2,Residential Burglary,69
2002,2,Robbery,6
2002,2,Theft,179
2002,2,Vehicle Theft,73
2002,2,Violent Crimes Total,14
2002,20,Aggravated Assault,2
2002,20,Homicide,0
2002,20,NonResidential Burglary,5
2002,20,Property Crimes Total,142
2002,20,Rape,0
2002,20,Residential Burglary,25
2002,20,Robbery,1
2002,20,Theft,84
2002,20,Vehicle Theft,28
2002,20,Violent Crimes Total,3
2002,21,Aggravated Assault,5
2002,21,Homicide,0
2002,21,NonResidential Burglary,2
2002,21,Property Crimes Total,116
2002,21,Rape,0
2002,21,Residential Burglary,26
2002,21,Robbery,4
2002,21,Theft,69
2002,21,Vehicle Theft,18
2002,21,Violent Crimes Total,9
2002,22,Aggravated Assault,4
2002,22,Homicide,0
2002,22,NonResidential Burglary,3
2002,22,Property Crimes Total,95
2002,22,Rape,0
2002,22,Residential Burglary,13
2002,22,Robbery,5
2002,22,Theft,65
2002,22,Vehicle Theft,13
2002,22,Violent Crimes Total,9
2002,23.98,Aggravated Assault,0
2002,23.98,Homicide,0
2002,23.98,NonResidential Burglary,11
2002,23.98,Property Crimes Total,46
2002,23.98,Rape,0
2002,23.98,Residential Burglary,1
2002,23.98,Robbery,0
2002,23.98,Theft,32
2002,23.98,Vehicle Theft,2
2002,23.98,Violent Crimes Total,0
2002,24,Aggravated Assault,3
2002,24,Homicide,0
2002,24,NonResidential Burglary,1
2002,24,Property Crimes Total,78
2002,24,Rape,0
2002,24,Residential Burglary,13
2002,24,Robbery,6
2002,24,Theft,48
2002,24,Vehicle Theft,16
2002,24,Violent Crimes Total,9
2002,25,Aggravated Assault,0
2002,25,Homicide,0
2002,25,NonResidential Burglary,1
2002,25,Property Crimes Total,50
2002,25,Rape,0
2002,25,Residential Burglary,14
2002,25,Robbery,0
2002,25,Theft,30
2002,25,Vehicle Theft,5
2002,25,Violent Crimes Total,0
2002,26,Aggravated Assault,8
2002,26,Homicide,0
2002,26,NonResidential Burglary,15
2002,26,Property Crimes Total,298
2002,26,Rape,0
2002,26,Residential Burglary,53
2002,26,Robbery,6
2002,26,Theft,150
2002,26,Vehicle Theft,77
